object,airmass,astig1,astig2,az,band,date_obs,dimm2see,propid,expnum,exptime,magzero,magzpt,mjd_obs,nite,observer,telra,teldec,time_obs,radeg,decdeg,dtnsanam
NTH1,1.45,-0.02,0.1,103.9078,VR,2023-05-22T05:32:13.055303,-1.0,2023A-423737,1205528,120.0,30.922,25.724,60086.23070666,20230521,Edward Lin,20:23:07.688,-29:49:34.298,05:32:13.055303,305.7820333333333,-29.826193888888888,c4d_230522_053213_opi_VR_v1.fits.fz
NTH1,1.44,-0.02,0.1,103.7403,VR,2023-05-22T05:34:43.042749,-1.0,2023A-423737,1205529,120.0,31.101,25.903,60086.23244262,20230521,Edward Lin,20:23:07.660,-29:49:33.802,05:34:43.042749,305.7819166666666,-29.82605611111111,c4d_230522_053443_opi_VR_v1.fits.fz
NTH1,1.43,-0.16,-0.02,103.5493,VR,2023-05-22T05:37:12.962340,-1.0,2023A-423737,1205530,120.0,31.067,25.869,60086.23417781,20230521,Edward Lin,20:23:07.670,-29:49:33.899,05:37:12.962340,305.7819583333333,-29.826083055555554,c4d_230522_053712_opi_VR_v1.fits.fz
NTH1,1.42,-0.11,-0.03,103.3577,VR,2023-05-22T05:39:43.136678,-1.0,2023A-423737,1205531,120.0,31.026,25.828,60086.23591593,20230521,Edward Lin,20:23:07.660,-29:49:33.802,05:39:43.136678,305.7819166666666,-29.82605611111111,c4d_230522_053943_opi_VR_v1.fits.fz
NTH1,1.4,-0.09,0.03,103.1691,VR,2023-05-22T05:42:14.007225,-1.0,2023A-423737,1205532,120.0,30.933,25.735,60086.23766212,20230521,Edward Lin,20:23:07.649,-29:49:33.802,05:42:14.007225,305.7818708333333,-29.82605611111111,c4d_230522_054214_opi_VR_v1.fits.fz
NTH1,1.39,0.04,0.02,102.9774,VR,2023-05-22T05:44:43.940907,-1.0,2023A-423737,1205533,120.0,30.89,25.692,60086.23939746,20230521,Edward Lin,20:23:07.660,-29:49:33.802,05:44:43.940907,305.7819166666666,-29.82605611111111,c4d_230522_054443_opi_VR_v1.fits.fz
NTH1,1.38,0.04,-0.02,102.7899,VR,2023-05-22T05:47:13.624044,-1.0,2023A-423737,1205534,120.0,30.897,25.699,60086.24112991,20230521,Edward Lin,20:23:07.670,-29:49:33.802,05:47:13.624044,305.7819583333333,-29.82605611111111,c4d_230522_054713_opi_VR_v1.fits.fz
NTH1,1.37,-0.02,0.0,102.6015,VR,2023-05-22T05:49:42.496410,-1.0,2023A-423737,1205535,120.0,30.893,25.695,60086.24285297,20230521,Edward Lin,20:23:07.649,-29:49:33.802,05:49:42.496410,305.7818708333333,-29.82605611111111,c4d_230522_054942_opi_VR_v1.fits.fz
NTH1,1.35,0.05,0.0,102.4137,VR,2023-05-22T05:52:13.291869,-1.0,2023A-423737,1205536,120.0,30.87,25.672,60086.24459829,20230521,Edward Lin,20:23:07.649,-29:49:33.802,05:52:13.291869,305.7818708333333,-29.82605611111111,c4d_230522_055213_opi_VR_v1.fits.fz
NTH1,1.34,-0.02,0.01,102.2276,VR,2023-05-22T05:54:43.775190,-1.0,2023A-423737,1205537,120.0,30.893,25.695,60086.24633999,20230521,Edward Lin,20:23:07.660,-29:49:33.802,05:54:43.775190,305.7819166666666,-29.82605611111111,c4d_230522_055443_opi_VR_v1.fits.fz
NTH1,1.33,0.07,-0.0,102.0395,VR,2023-05-22T05:57:13.711916,-1.0,2023A-423737,1205538,120.0,30.971,25.773,60086.24807537,20230521,Edward Lin,20:23:07.670,-29:49:33.802,05:57:13.711916,305.7819583333333,-29.82605611111111,c4d_230522_055713_opi_VR_v1.fits.fz
NTH1,1.32,-0.04,-0.01,101.8542,VR,2023-05-22T05:59:43.216474,-1.0,2023A-423737,1205539,120.0,30.787,25.589,60086.24980575,20230521,Edward Lin,20:23:07.681,-29:49:33.802,05:59:43.216474,305.78200416666664,-29.82605611111111,c4d_230522_055943_opi_VR_v1.fits.fz
NTH1,1.31,0.0,0.05,101.6682,VR,2023-05-22T06:02:12.216142,-1.0,2023A-423737,1205540,120.0,30.802,25.604,60086.25153028,20230521,Edward Lin,20:23:07.649,-29:49:33.802,06:02:12.216142,305.7818708333333,-29.82605611111111,c4d_230522_060212_opi_VR_v1.fits.fz
NTH1,1.3,-0.02,-0.02,101.4839,VR,2023-05-22T06:04:41.430673,-1.0,2023A-423737,1205541,120.0,30.856,25.658,60086.2532573,20230521,Edward Lin,20:23:07.670,-29:49:33.899,06:04:41.430673,305.7819583333333,-29.826083055555554,c4d_230522_060441_opi_VR_v1.fits.fz
NTH1,1.29,-0.0,-0.05,101.2987,VR,2023-05-22T06:07:11.483461,-1.0,2023A-423737,1205542,120.0,30.759,25.561,60086.25499402,20230521,Edward Lin,20:23:07.681,-29:49:33.802,06:07:11.483461,305.78200416666664,-29.82605611111111,c4d_230522_060711_opi_VR_v1.fits.fz
NTH1,1.28,0.01,0.03,101.1138,VR,2023-05-22T06:09:40.932713,-1.0,2023A-423737,1205543,120.0,30.739,25.541,60086.25672376,20230521,Edward Lin,20:23:07.681,-29:49:33.802,06:09:40.932713,305.78200416666664,-29.82605611111111,c4d_230522_060940_opi_VR_v1.fits.fz
NTH1,1.27,-0.03,0.01,100.9294,VR,2023-05-22T06:12:09.932382,-1.0,2023A-423737,1205544,120.0,30.816,25.618,60086.25844829,20230521,Edward Lin,20:23:07.660,-29:49:33.899,06:12:09.932382,305.7819166666666,-29.826083055555554,c4d_230522_061209_opi_VR_v1.fits.fz
NTH1,1.26,0.13,-0.03,100.7465,VR,2023-05-22T06:14:40.427200,-1.0,2023A-423737,1205545,120.0,30.906,25.708,60086.26019013,20230521,Edward Lin,20:23:07.670,-29:49:33.899,06:14:40.427200,305.7819583333333,-29.826083055555554,c4d_230522_061440_opi_VR_v1.fits.fz
NTH1,1.25,-0.05,0.02,100.5613,VR,2023-05-22T06:17:09.706356,-1.0,2023A-423737,1205546,120.0,30.98,25.782,60086.2619179,20230521,Edward Lin,20:23:07.670,-29:49:33.802,06:17:09.706356,305.7819583333333,-29.82605611111111,c4d_230522_061709_opi_VR_v1.fits.fz
NTH1,1.25,0.03,-0.07,100.38,VR,2023-05-22T06:19:40.482941,-1.0,2023A-423737,1205547,120.0,31.069,25.871,60086.263663,20230521,Edward Lin,20:23:07.681,-29:49:33.802,06:19:40.482941,305.78200416666664,-29.82605611111111,c4d_230522_061940_opi_VR_v1.fits.fz
NTH1,1.24,0.02,0.02,100.1955,VR,2023-05-22T06:22:10.324719,-1.0,2023A-423737,1205548,120.0,31.068,25.87,60086.26539728,20230521,Edward Lin,20:23:07.670,-29:49:33.802,06:22:10.324719,305.7819583333333,-29.82605611111111,c4d_230522_062210_opi_VR_v1.fits.fz
NTH1,1.23,0.02,0.02,100.0135,VR,2023-05-22T06:24:40.184036,-1.0,2023A-423737,1205549,120.0,31.099,25.901,60086.26713176,20230521,Edward Lin,20:23:07.670,-29:49:33.899,06:24:40.184036,305.7819583333333,-29.826083055555554,c4d_230522_062440_opi_VR_v1.fits.fz
NTH1,1.22,-0.05,-0.04,99.8306,VR,2023-05-22T06:27:11.325523,-1.0,2023A-423737,1205550,120.0,31.111,25.913,60086.26888108,20230521,Edward Lin,20:23:07.681,-29:49:33.899,06:27:11.325523,305.78200416666664,-29.826083055555554,c4d_230522_062711_opi_VR_v1.fits.fz
NTH1,1.21,-0.11,-0.03,99.6454,VR,2023-05-22T06:29:41.159435,-1.0,2023A-423737,1205551,120.0,31.095,25.897,60086.27061527,20230521,Edward Lin,20:23:07.688,-29:49:33.899,06:29:41.159435,305.7820333333333,-29.826083055555554,c4d_230522_062941_opi_VR_v1.fits.fz
NTH1,1.2,0.04,-0.02,99.464,VR,2023-05-22T06:32:10.141614,-1.0,2023A-423737,1205552,120.0,31.077,25.879,60086.2723396,20230521,Edward Lin,20:23:07.688,-29:49:33.899,06:32:10.141614,305.7820333333333,-29.826083055555554,c4d_230522_063210_opi_VR_v1.fits.fz
NTH1,1.2,0.04,0.07,99.2827,VR,2023-05-22T06:34:40.389077,-1.0,2023A-423737,1205553,120.0,31.042,25.844,60086.27407858,20230521,Edward Lin,20:23:07.681,-29:49:33.802,06:34:40.389077,305.78200416666664,-29.82605611111111,c4d_230522_063440_opi_VR_v1.fits.fz
NTH1,1.19,0.03,0.05,99.1005,VR,2023-05-22T06:37:10.574191,-1.0,2023A-423737,1205554,120.0,31.092,25.894,60086.27581683,20230521,Edward Lin,20:23:07.688,-29:49:33.802,06:37:10.574191,305.7820333333333,-29.82605611111111,c4d_230522_063710_opi_VR_v1.fits.fz
NTH1,1.18,-0.01,-0.06,98.9181,VR,2023-05-22T06:39:39.554295,-1.0,2023A-423737,1205555,120.0,31.093,25.895,60086.27754114,20230521,Edward Lin,20:23:07.681,-29:49:33.802,06:39:39.554295,305.78200416666664,-29.82605611111111,c4d_230522_063939_opi_VR_v1.fits.fz
NTH1,1.18,0.07,-0.04,98.736,VR,2023-05-22T06:42:09.242055,-1.0,2023A-423737,1205556,120.0,30.957,25.759,60086.27927363,20230521,Edward Lin,20:23:07.699,-29:49:33.802,06:42:09.242055,305.7820791666666,-29.82605611111111,c4d_230522_064209_opi_VR_v1.fits.fz
NTH1,1.17,-0.04,0.0,98.5537,VR,2023-05-22T06:44:38.995190,-1.0,2023A-423737,1205557,120.0,30.849,25.651,60086.28100689,20230521,Edward Lin,20:23:07.681,-29:49:33.802,06:44:38.995190,305.78200416666664,-29.82605611111111,c4d_230522_064438_opi_VR_v1.fits.fz
NTH1,1.16,0.01,0.04,98.3728,VR,2023-05-22T06:47:08.399260,-1.0,2023A-423737,1205558,120.0,30.935,25.737,60086.2827361,20230521,Edward Lin,20:23:07.688,-29:49:33.802,06:47:08.399260,305.7820333333333,-29.82605611111111,c4d_230522_064708_opi_VR_v1.fits.fz
NTH1,1.16,-0.06,-0.04,98.1908,VR,2023-05-22T06:49:37.152276,-1.0,2023A-423737,1205559,120.0,30.999,25.801,60086.28445778,20230521,Edward Lin,20:23:07.688,-29:49:33.802,06:49:37.152276,305.7820333333333,-29.82605611111111,c4d_230522_064937_opi_VR_v1.fits.fz
NTH1,1.15,0.04,-0.01,98.011,VR,2023-05-22T06:52:06.332005,-1.0,2023A-423737,1205560,120.0,30.941,25.743,60086.2861844,20230521,Edward Lin,20:23:07.699,-29:49:33.802,06:52:06.332005,305.7820791666666,-29.82605611111111,c4d_230522_065206_opi_VR_v1.fits.fz
NTH1,1.14,0.0,-0.01,97.8301,VR,2023-05-22T06:54:34.799478,-1.0,2023A-423737,1205561,120.0,30.95,25.752,60086.28790277,20230521,Edward Lin,20:23:07.688,-29:49:33.802,06:54:34.799478,305.7820333333333,-29.82605611111111,c4d_230522_065434_opi_VR_v1.fits.fz
NTH1,1.14,-0.0,0.01,97.6501,VR,2023-05-22T06:57:03.693893,-1.0,2023A-423737,1205562,120.0,31.025,25.827,60086.28962609,20230521,Edward Lin,20:23:07.688,-29:49:33.802,06:57:03.693893,305.7820333333333,-29.82605611111111,c4d_230522_065703_opi_VR_v1.fits.fz
NTH1,1.13,-0.04,0.04,97.4672,VR,2023-05-22T06:59:32.685443,-1.0,2023A-423737,1205563,120.0,31.055,25.857,60086.29135053,20230521,Edward Lin,20:23:07.688,-29:49:33.802,06:59:32.685443,305.7820333333333,-29.82605611111111,c4d_230522_065932_opi_VR_v1.fits.fz
NTH1,1.13,0.05,0.03,97.2854,VR,2023-05-22T07:02:02.257520,-1.0,2023A-423737,1205564,120.0,31.069,25.871,60086.29308168,20230521,Edward Lin,20:23:07.699,-29:49:33.802,07:02:02.257520,305.7820791666666,-29.82605611111111,c4d_230522_070202_opi_VR_v1.fits.fz
NTH1,1.12,-0.02,0.0,97.1032,VR,2023-05-22T07:04:31.353246,-1.0,2023A-423737,1205565,120.0,30.971,25.773,60086.29480733,20230521,Edward Lin,20:23:07.721,-29:49:33.802,07:04:31.353246,305.7821708333333,-29.82605611111111,c4d_230522_070431_opi_VR_v1.fits.fz
NTH1,1.12,0.01,0.04,96.9197,VR,2023-05-22T07:07:01.923937,-1.0,2023A-423737,1205566,120.0,30.976,25.778,60086.29655005,20230521,Edward Lin,20:23:07.688,-29:49:33.899,07:07:01.923937,305.7820333333333,-29.826083055555554,c4d_230522_070701_opi_VR_v1.fits.fz
NTH1,1.11,0.01,-0.0,96.7357,VR,2023-05-22T07:09:30.534182,-1.0,2023A-423737,1205567,120.0,30.946,25.748,60086.29827007,20230521,Edward Lin,20:23:07.699,-29:49:33.899,07:09:30.534182,305.7820791666666,-29.826083055555554,c4d_230522_070930_opi_VR_v1.fits.fz
NTH1,1.11,-0.06,0.07,96.5539,VR,2023-05-22T07:11:59.571771,-1.0,2023A-423737,1205568,120.0,30.903,25.705,60086.29999504,20230521,Edward Lin,20:23:07.699,-29:49:33.899,07:11:59.571771,305.7820791666666,-29.826083055555554,c4d_230522_071159_opi_VR_v1.fits.fz
NTH1,1.1,0.02,-0.01,96.369,VR,2023-05-22T07:14:29.342431,-1.0,2023A-423737,1205569,120.0,30.896,25.698,60086.3017285,20230521,Edward Lin,20:23:07.710,-29:49:33.899,07:14:29.342431,305.78212499999995,-29.826083055555554,c4d_230522_071429_opi_VR_v1.fits.fz
NTH1,1.1,0.01,0.0,96.1847,VR,2023-05-22T07:16:58.182627,-1.0,2023A-423737,1205570,120.0,30.807,25.609,60086.30345119,20230521,Edward Lin,20:23:07.699,-29:49:33.802,07:16:58.182627,305.7820791666666,-29.82605611111111,c4d_230522_071658_opi_VR_v1.fits.fz
